net,length_um
_04243_,222.82
_07896_,222.82
_13074_,222.54
_13358_,222.18
_11562_,222.08
_14323_,222.04
_08752_,222
genblk1.pcpi_mul.rs2\[18\],221.76
_08712_,221.61
genblk1.pcpi_mul.rs2\[31\],221.61
_08616_,221.47
_08452_,221.38
_08407_,221.31
_08785_,221.14
_14232_,220.81
_05680_,220.805
_11138_,220.8
_06168_,220.58
_09672_,220.52
_00089_,220.485
_11427_,220.39
_00620_,220.275
net289,220.1
_08423_,219.92
_08710_,219.86
_09464_,219.82
_00621_,219.805
net229,219.74
_08610_,219.51
_07899_,219.235
genblk1.pcpi_mul.rs1\[0\],219.21
_14158_,218.98
_05976_,218.94
_00090_,218.745
_14673_,218.73
_12627_,218.6
net178,218.6
_11209_,218.56
net360,218.535
_11166_,218.44
_14525_,218.39
net368,218.355
_07876_,218.25
_00622_,218.025
net192,217.94
_08767_,217.87
_09714_,217.64
_11379_,217.52
_09740_,217.46
_14182_,217.41
_09950_,217.28
genblk1.pcpi_mul.rs2\[30\],217.16
_08895_,217.08
net396,216.94
alu_out_q\[9\],216.92
_14124_,216.45
_02280_,216.42
_08749_,216.36
net85,216.08
_11002_,215.8
net367,215.46
_11006_,215.39
_08401_,215.32
_00623_,215.045
net392,215.02
_11380_,214.73
_08318_,214.715
_07902_,214.66
_06175_,214.4
_06474_,214.28
net201,214.16
_10470_,214.11
_09931_,213.76
net278,213.7
_08339_,213.6
_06121_,213.58
_06340_,213.43
genblk1.pcpi_mul.rs1\[1\],213.4
_12178_,213.2
_02295_,212.97
_01719_,212.52
_09360_,212.26
decoded_imm\[21\],212.185
_11770_,211.735
_05710_,211.62
_12312_,211.44
_09985_,211.37
_05453_,211.26
_02540_,211.21
decoded_rs1\[0\],211.16
net125,211.1
_00088_,211.025
_11234_,210.84
_14023_,210.84
net47,210.64
_05612_,210.55
_14412_,210.51
_10297_,210.39
net124,210.3
_09830_,210.16
instr_lui,210.16
_08232_,209.67
_09111_,209.44
_01632_,209.21
net237,208.72
_11481_,208.62
_14330_,208.58
_06026_,208.48
_14417_,208.44
_10120_,208.41
_05902_,208.14
decoded_imm\[20\],208.105
_05224_,208.07
_13676_,207.88
_14055_,207.82
_02538_,207.66
_05863_,207.6
_02135_,207.43
decoded_imm\[9\],207.4
_09860_,207.18
_08362_,207.16
_06487_,207.12
_11026_,207.04
_09467_,206.74
_11402_,206.735
_11137_,206.65
_05916_,206.44
_12110_,206.2
_01718_,206.07
_11565_,205.96
genblk1.pcpi_mul.rd\[24\],205.92
_02143_,205.58
_08891_,205.55
_14117_,205.545
genblk1.pcpi_mul.rs2\[24\],205.44
net285,205.14
genblk1.pcpi_mul.rs2\[27\],205.09
net213,205
genblk1.pcpi_mul.rs1\[11\],204.94
_14044_,204.91
_08402_,204.83
_13356_,204.79
_13919_,204.78
net179,204.68
_08648_,204.36
decoded_imm\[5\],204.28
_11101_,204.26
_06296_,203.68
mem_rdata_q\[17\],203.6
_07889_,203.58
_08846_,203.58
_06627_,203.54
net388,203.5
_05909_,203.42
_09100_,203.38
_07208_,203.26
_07842_,203.26
_11484_,203.12
_14162_,203.095
_02680_,203.04
_05364_,202.99
_09870_,202.96
_07895_,202.955
_11773_,202.92
_14691_,202.81
_10473_,202.66
decoded_rs1\[3\],202.47
irq_mask\[26\],202.42
_07946_,202.29
_14133_,202.195
_11377_,202
_05805_,201.97
net398,201.82
decoded_imm\[6\],201.735
decoded_rs1\[1\],201.64
_11077_,201.42
_11092_,201.32
_05539_,201.2
genblk1.pcpi_mul.rs2\[13\],201.18
_12396_,201.06
genblk1.pcpi_mul.rs1\[12\],201.02
_00091_,200.905
_14327_,200.79
irq_mask\[23\],200.67
alu_out\[12\],200.52
_11470_,200.44
alu_out_q\[8\],200.42
alu_out\[13\],200.2
_06282_,200.17
_10974_,199.97
reg_next_pc\[31\],199.74
_05962_,199.72
_06015_,199.68
net164,199.495
_11887_,199.12
_11485_,199.08
_01855_,198.795
_06594_,198.4
_12630_,198.34
_08701_,198.28
_13967_,198.28
_01987_,197.98
_10893_,197.81
net292,197.74
_12320_,197.73
genblk1.pcpi_mul.rs2\[12\],197.66
_06975_,197.56
decoded_imm\[19\],197.52
_09873_,197.44
irq_mask\[25\],197.34
_07560_,197.22
_08526_,197.2
net220,197.2
_05669_,197.175
net37,197.14
_11696_,197.12
_11593_,197.01
genblk1.pcpi_mul.rs1\[8\],196.94
net293,196.94
_08422_,196.93
_08951_,196.78
_07930_,196.69
_09002_,196.26
_11107_,196.18
_01926_,196.08
_08320_,195.86
_10293_,195.84
_09972_,195.82
genblk1.pcpi_mul.rs2\[20\],195.82
_05605_,195.56
_11152_,195.42
_10996_,195.07
_09703_,194.86
_10628_,194.66
_08656_,194.61
_08718_,194.5
_04953_,194.2
genblk1.pcpi_mul.rs2\[23\],194.17
_14180_,194.06
_05812_,193.95
_01544_,193.84
_10245_,193.79
_06065_,193.72
_10933_,193.54
_09947_,193.36
_05645_,193.2
_13973_,193
_05567_,192.82
instr_jalr,192.82
_10949_,192.76
_08417_,192.71
_08862_,192.54
_03287_,192.48
_08902_,192.44
_06008_,192.42
_08770_,192.38
_05591_,192.3
_05838_,191.9
_12064_,191.89
_10262_,191.86
_08390_,191.795
_05855_,191.79
net59,191.485
_00093_,191.46
_10696_,191.14
_08907_,191.04
_11082_,190.49
_14686_,190.04
_05663_,189.94
_05851_,189.76
_14496_,189.755
_11844_,189.73
decoded_imm\[22\],189.69
_08912_,189.58
decoded_imm\[8\],189.125
_09655_,189.1
_06497_,189.09
_11880_,188.92
irq_pending\[14\],188.82
net87,188.82
_05584_,188.8
_10260_,188.78
_14331_,188.66
_13937_,188.62
_12538_,188.59
mem_rdata_q\[18\],188.32
_13695_,188.24
_08751_,188.18
_03607_,188.03
_08530_,188.03
net90,188.03
_10015_,187.96
_10292_,187.94
mem_rdata_q\[19\],187.88
mem_rdata_q\[21\],187.88
_14148_,187.76
_10264_,187.68
_08763_,187.66
_03190_,187.54
net224,187.34
_01860_,187.31
_01697_,187.16
_03272_,187.02
_11161_,186.74
_05520_,186.67
_07993_,186.6
_05969_,186.56
_05156_,186.52
_05987_,186.24
_01520_,186.215
genblk1.pcpi_mul.rs1\[4\],186.12
net228,185.88
mem_rdata_q\[23\],185.745
_14337_,185.5
_06644_,185.46
_02945_,185.38
alu_out\[10\],185.22
_10017_,185.12
_07901_,185.03
_06618_,184.98
_05147_,184.74
_05137_,184.58
net54,184.56
_05866_,184.3
_14134_,184.22
decoded_imm\[10\],184.22
_10945_,184.15
_11368_,184.12
_13827_,184.095
_06431_,183.98
_10090_,183.9
_14339_,183.8
_05187_,183.72
net84,183.66
_08455_,183.575
_08425_,183.54
_08292_,183.42
_14690_,183.34
_11679_,183.25
instr_setq,183.22
_05499_,183.18
net81,183.14
_10129_,182.46
_04156_,182.4
_00050_,181.945
_11384_,181.86
_08576_,181.84
_11456_,181.66
_14058_,181.155
genblk1.pcpi_mul.rs1\[10\],180.74
decoded_imm\[18\],180.7
net236,180.64
net56,180.54
_02087_,180.47
_10980_,180.46
_14498_,180.44
_08413_,180.43
clknet_leaf_91_clk,180.42
_08929_,180.35
_13743_,180.345
mem_rdata_q\[22\],180.345
_08367_,180.26
_03497_,180.24
irq_mask\[21\],180.2
_09606_,180.09
_14682_,179.92
_14150_,179.86
_11048_,179.8
_08347_,179.6
_11480_,179.58
_10977_,179.56
_06688_,179.36
net393,179.34
_02815_,179.29
_05196_,179.28
_08330_,179.24
decoded_imm\[11\],179.225
_08791_,178.84
_07572_,178.66
_05889_,178.55
_08348_,178.52
_09717_,178.5
net230,178.5
